version,order,procs,time_ms,speedup,efficiency,nodes,solution,length
1,10,128,65.08,0,0,3048688,"[0, 1, 6, 10, 23, 26, 34, 41, 53, 55]",55
1,10,16,36.77,0,0,2588691,"[0, 1, 6, 10, 23, 26, 34, 41, 53, 55]",55
1,10,32,39.30,0,0,2727989,"[0, 1, 6, 10, 23, 26, 34, 41, 53, 55]",55
1,10,64,45.58,0,0,2913812,"[0, 1, 6, 10, 23, 26, 34, 41, 53, 55]",55
1,10,8,124.91,0,0,2536382,"[0, 1, 6, 10, 23, 26, 34, 41, 53, 55]",55
2,10,128,113.10,0,0,3359831,"[0, 1, 4, 38, 44, 46, 55, 62, 67, 77]",55
2,10,16,51.21,0,0,2586522,"[0, 1, 3, 8, 17, 30, 41, 56, 62, 66]",55
2,10,32,58.13,0,0,2680091,"[0, 1, 3, 14, 21, 33, 49, 55, 59, 64]",55
2,10,64,68.27,0,0,2726978,"[0, 1, 3, 31, 36, 44, 48, 54, 63, 70]",55
2,10,8,59.85,0,0,2538179,"[0, 1, 3, 11, 17, 29, 36, 51, 56, 60]",55
3,10,128,118.40,0,0,0,"[0, 1, 6, 10, 23, 26, 34, 41, 53, 55]",55
3,10,16,51.73,0,0,0,"[0, 1, 6, 10, 23, 26, 34, 41, 53, 55]",55
3,10,32,93.39,0,0,0,"[0, 1, 6, 10, 23, 26, 34, 41, 53, 55]",55
3,10,64,71.32,0,0,0,"[0, 1, 6, 10, 23, 26, 34, 41, 53, 55]",55
3,10,8,52.76,0,0,0,"[0, 1, 6, 10, 23, 26, 34, 41, 53, 55]",55
4,10,16,750.05,0,0,3682741,"[0, 1, 6, 10, 23, 26, 34, 41, 53, 55]",55
4,10,32,910.23,0,0,6064405,"[0, 1, 6, 10, 23, 26, 34, 41, 53, 55]",55
4,10,4,402.91,0,0,2680669,"[0, 1, 6, 10, 23, 26, 34, 41, 53, 55]",55
4,10,8,680.03,0,0,4783784,"[0, 1, 6, 10, 23, 26, 34, 41, 53, 55]",55
1,11,16,1161.00,0,0,44547667,"[0, 1, 4, 13, 28, 33, 47, 54, 64, 70, 72]",72
1,11,32,1317.58,0,0,44679448,"[0, 1, 4, 13, 28, 33, 47, 54, 64, 70, 72]",72
1,11,64,1358.74,0,0,44971652,"[0, 1, 4, 13, 28, 33, 47, 54, 64, 70, 72]",72
1,11,8,1453.34,0,0,44497549,"[0, 1, 4, 13, 28, 33, 47, 54, 64, 70, 72]",72
2,11,128,3802.45,0,0,44986050,"[20, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",72
2,11,16,1593.52,0,0,44545495,"[0, 1, 4, 13, 28, 33, 47, 54, 64, 70, 72]",72
2,11,32,1916.12,0,0,44664291,"[0, 1, 3, 7, 21, 34, 43, 53, 58, 69, 81]",72
2,11,64,2435.04,0,0,44769073,"[20, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",72
2,11,8,1322.19,0,0,44502563,"[0, 1, 3, 7, 17, 26, 38, 53, 58, 71, 82]",72
3,11,128,3521.84,0,0,0,"[0, 1, 4, 13, 28, 33, 47, 54, 64, 70, 72]",72
3,11,16,1663.41,0,0,0,"[0, 1, 4, 13, 28, 33, 47, 54, 64, 70, 72]",72
3,11,32,1857.27,0,0,0,"[0, 1, 4, 13, 28, 33, 47, 54, 64, 70, 72]",72
3,11,64,2232.34,0,0,0,"[0, 1, 4, 13, 28, 33, 47, 54, 64, 70, 72]",72
3,11,8,1318.41,0,0,0,"[0, 1, 4, 13, 28, 33, 47, 54, 64, 70, 72]",72
